case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG11_T2b,bpg,BPG11,T2b,7,least_squares,0.012,1.000000e+20,1.377270e+18,False,3,False
BPG11_T4a,bpg,BPG11,T4a,10,CMA-ES,16.223,9.419454e-02,1.297314e-03,False,60000,False
BPG11_T4a,bpg,BPG11,T4a,10,DE,73.206,1.338306e-01,1.843209e-03,False,301642,False
BPG11_T4a,bpg,BPG11,T4a,10,Hybrid,6.708,5.632475e-12,7.757440e-14,True,8153,False
BPG11_T4a,bpg,BPG11,T4a,10,L-BFGS-B,3.277,3.127706e+00,4.307697e-02,False,16731,False
BPG11_T4a,bpg,BPG11,T4a,10,least_squares,70.482,1.226970e-05,1.689869e-07,False,22421,False
BPG11_T4b,bpg,BPG11,T4b,10,CMA-ES,16.82,2.109499e-02,2.905350e-04,False,52060,False
BPG11_T4b,bpg,BPG11,T4b,10,DE,85.393,2.830557e-02,3.898442e-04,False,300894,False
BPG11_T4b,bpg,BPG11,T4b,10,Hybrid,5.864,5.632952e-12,7.758097e-14,True,7155,False
BPG11_T4b,bpg,BPG11,T4b,10,L-BFGS-B,6.276,3.001858e-02,4.134371e-04,False,21197,False
BPG11_T4b,bpg,BPG11,T4b,10,least_squares,36.154,1.198068e-07,1.650064e-09,False,10240,False
BPG12_T0,bpg,BPG12,T0,4,CMA-ES,3.692,3.709525e+02,5.983996e-01,False,14340,False
BPG12_T0,bpg,BPG12,T0,4,DE,2.183,4.266681e-10,6.882768e-13,True,11420,False
BPG12_T0,bpg,BPG12,T0,4,Hybrid,18.006,4.266681e-10,6.882768e-13,True,28201,False
BPG12_T0,bpg,BPG12,T0,4,L-BFGS-B,0.165,4.487159e+02,7.238430e-01,False,940,False
BPG12_T0,bpg,BPG12,T0,4,least_squares,0.063,6.000355e+02,9.679431e-01,False,59,False
BPG12_T1a,bpg,BPG12,T1a,7,CMA-ES,17.024,4.551191e+02,7.341722e-01,False,47580,False
BPG12_T1a,bpg,BPG12,T1a,7,DE,13.868,4.266246e-10,6.882066e-13,True,34934,False
BPG12_T1a,bpg,BPG12,T1a,7,Hybrid,19.138,6.288406e-10,1.014410e-12,True,23483,False
BPG12_T1a,bpg,BPG12,T1a,7,L-BFGS-B,0.801,4.553329e+02,7.345172e-01,False,3000,False
