case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG16_T1a,bpg,BPG16,T1a,8,CMA-ES,3.697,3.117480e-10,9.377143e-11,True,6900,False
BPG16_T1a,bpg,BPG16,T1a,8,DE,27.267,5.975292e-11,1.797322e-11,True,80161,False
BPG16_T1a,bpg,BPG16,T1a,8,Hybrid,3.23,5.893788e-12,1.772807e-12,True,3504,False
BPG16_T1a,bpg,BPG16,T1a,8,L-BFGS-B,1.661,1.704645e-02,5.127444e-03,False,3942,False
BPG16_T1a,bpg,BPG16,T1a,8,least_squares,54.648,5.893571e-12,1.772742e-12,True,15920,False
BPG16_T1b,bpg,BPG16,T1b,8,CMA-ES,26.123,2.569890e-07,7.730035e-08,False,60000,False
BPG16_T1b,bpg,BPG16,T1b,8,DE,115.667,2.341302e-07,7.042460e-08,False,240573,False
BPG16_T1b,bpg,BPG16,T1b,8,Hybrid,30.348,5.884948e-12,1.770148e-12,True,33318,False
BPG16_T1b,bpg,BPG16,T1b,8,L-BFGS-B,1.596,2.438775e-03,7.335650e-04,False,4788,False
BPG16_T1b,bpg,BPG16,T1b,8,least_squares,1.232,5.891246e-12,1.772042e-12,True,269,False
BPG17_T1a,bpg,BPG17,T1a,8,CMA-ES,15.549,6.346333e-13,1.009481e-09,False,34600,False
BPG17_T1a,bpg,BPG17,T1a,8,DE,92.15,8.504120e-11,1.352710e-07,False,240285,False
BPG17_T1a,bpg,BPG17,T1a,8,Hybrid,3.356,3.669981e-17,5.837664e-14,True,4863,False
BPG17_T1a,bpg,BPG17,T1a,8,L-BFGS-B,1.851,3.308920e-08,5.263341e-05,False,4059,False
BPG17_T1a,bpg,BPG17,T1a,8,least_squares,1.116,3.670045e-17,5.837765e-14,True,406,False
BPG17_T1b,bpg,BPG17,T1b,8,CMA-ES,11.986,5.623821e-14,8.945543e-11,True,23160,False
BPG17_T1b,bpg,BPG17,T1b,8,DE,40.907,4.673460e-14,7.433850e-11,True,80089,False
BPG17_T1b,bpg,BPG17,T1b,8,Hybrid,12.644,3.669672e-17,5.837173e-14,True,13302,False
BPG17_T1b,bpg,BPG17,T1b,8,L-BFGS-B,0.48,2.340621e-09,3.723114e-06,False,1422,False
BPG17_T1b,bpg,BPG17,T1b,8,least_squares,34.405,3.668315e-17,5.835014e-14,True,9019,False
BPG18_T1a,bpg,BPG18,T1a,7,CMA-ES,22.797,3.559531e+02,7.365270e-01,False,60000,False
BPG18_T1a,bpg,BPG18,T1a,7,DE,21.3,4.933581e-10,1.020841e-12,True,59878,False
BPG18_T1a,bpg,BPG18,T1a,7,Hybrid,18.789,2.567283e-08,5.312141e-11,True,31347,False
BPG18_T1a,bpg,BPG18,T1a,7,L-BFGS-B,2.216,4.628172e+02,9.576467e-01,False,6160,False
